"index_road","node_id"
"[5212464L, 24447647L]",35855552
"[5168780L, 5212464L]",36551832
"[5212774L, 29262365L]",35835419
"[5212290L, 5212774L]",35835418
"[5212775L]",35556748
"[5212775L]",35835585
"[5212775L, 5212776L]",35556693
"[5212776L, 8866484L]",35556694
"[5135889L, 5217861L]",35552320
"[5217952L, 120521120L]",36704090
"[5212294L, 5217952L]",35835378
"[5217964L, 29314891L, 30768347L, 128949611L]",322450347
"[5217964L, 29262895L]",321802813
"[5217972L, 29262365L]",35835420
"[5217972L, 122923050L]",36704414
"[5217979L]",36704530
"[5217979L]",36704537
"[5218028L, 5218048L]",36704966
"[5218028L, 29201524L]",321207013
"[5218029L, 29201548L]",35871419
"[5218029L, 5218054L]",36704992
"[5218035L, 30041629L]",330836226
"[5218035L, 5218038L]",36704900
"[5218036L, 5218037L]",36704903
"[5218029L, 5218036L]",36704882
"[5218037L, 30041629L]",36704904
"[5218037L, 5218038L]",36704905
"[5218037L, 5218038L]",36704905
"[5218038L, 30041862L]",129899691
"[5218028L, 5218042L]",36704941
"[5218037L, 5218042L]",36704950
"[5218037L, 5218043L]",36704952
"[5218028L, 5218043L]",36704959
"[5218045L, 33679293L]",35871135
"[5218045L, 29201546L]",35871415
"[5212290L, 5218046L]",36542781
"[5218046L, 5218047L]",36704963
"[5218046L, 5218047L]",36704963
"[5218047L, 5218056L]",36704964
"[5218048L, 5218056L]",36704965
"[5218028L, 5218048L]",36704966
"[5218029L, 5218054L]",36704992
"[5218054L, 5218055L]",36704994
"[5218054L, 5218055L]",36704994
"[5218055L, 5218057L]",36704997
"[5218047L, 5218056L]",36704964
"[5218048L, 5218056L]",36704965
"[5218055L, 5218057L]",36704997
"[5218057L, 5218058L]",36705007
"[5218057L, 5218058L]",36705007
"[5218058L, 120521120L]",1351272684
"[4493468L, 8365687L]",25585055
"[8365687L, 127843744L]",25248788
"[8365690L, 30042374L, 34104228L]",77732047
"[8365690L, 30833852L, 127844296L]",25585122
"[8365693L, 127844296L]",25585120
"[4263918L, 8365693L, 101833597L]",25585135
"[8365696L, 127844296L]",25585118
"[4263918L, 8365696L]",25585139
"[8365697L, 42710237L, 127844296L]",25585116
"[4263918L, 8365697L, 60266744L]",25585141
"[4974185L, 8860924L, 23720951L]",35552324
"[8860924L, 8860933L]",35554061
"[8860924L, 8860933L]",35554061
"[5090644L, 8860933L, 8860940L]",35554062
"[5090644L, 8860933L, 8860940L]",35554062
"[8860940L, 9852914L, 9853022L]",32899016
"[8861258L, 8861304L, 22788522L]",244888026
"[5202946L, 8861258L, 22788324L]",35722670
"[8861258L, 8861304L, 22788522L]",244888026
"[8861304L, 30212688L]",332949527
"[8861571L, 120497140L]",1351023321
"[8861571L, 122923045L]",1372013062
"[5135889L, 8866484L]",35552321
"[8866484L]",64461489
"[8867282L, 27262001L, 121399221L]",27484736
"[8867282L, 22758736L, 42655192L]",27486094
"[8868032L, 51391961L, 51391965L]",64490206
"[8868032L, 139355443L, 139355445L]",1528034334
"[8868091L, 51391961L, 128009698L]",27547627
"[8868091L, 136879322L]",656035868
"[8869519L, 78732996L]",1303500892
"[8869519L, 30041821L]",330837004
"[5202952L, 8873184L]",64603697
"[5203144L, 8873184L]",64603903
"[5217861L, 9033752L]",66420500
"[5135924L, 9033752L]",72068540
"[5217861L, 9033757L]",32877267
"[9033757L]",66420606
"[9033757L, 9033764L]",66420582
"[9033764L, 22800720L]",1357805898
"[9476038L, 29549943L]",72843093
"[9476038L, 33680937L]",385092013
"[9476046L, 42426045L]",27547590
"[9476046L, 30065189L, 30838742L]",27547596
"[9477031L, 25109088L, 131710750L]",32387952
"[9477031L]",32387954
"[5217861L, 9590423L]",74450584
"[9033752L, 9590423L]",74450982
"[9590425L]",74467335
"[9590423L, 9590425L]",74450885
"[5135897L, 9590427L, 22788621L]",35555077
"[9701147L, 104129607L]",385095492
"[9701147L, 33681396L]",385096665
"[9701307L, 33681396L]",76435350
"[9701307L, 33681310L]",385095869
"[9701429L, 26295102L]",76440395
"[9701429L, 26288103L]",76443703
"[9701849L, 16266658L, 60051360L, 120495329L, 129622317L]",76456803
"[9701849L, 30879931L]",76456796
"[5169159L, 9701851L, 29261934L]",34928517
"[9701851L, 60785483L, 115646458L]",35552589
"[9701854L, 29261667L]",321794578
"[9701854L, 9701864L]",76457033
"[9701854L, 9701864L]",76457033
"[5135889L, 9701864L]",35552319
"[5135889L, 9701880L]",256875150
"[9701880L, 9701883L]",76457113
"[9701883L, 30879928L]",76457116
"[9701883L, 23718031L]",76457138
"[9701885L, 29261934L]",76457133
"[9701883L, 9701885L]",76457134
"[9701883L, 9701888L]",76457126
"[9701888L, 9701893L]",76457143
"[9701893L]",76457144
"[9701885L, 9701893L]",76457145
"[8861258L, 9701897L, 11315181L]",64382848
"[5212286L, 9701897L]",35555404
"[5168718L, 9701904L]",36704260
"[9701904L, 22788214L]",244884033
"[5202948L, 9701935L, 103255971L]",35722664
"[9701935L]",76457576
"[9701974L, 9852987L, 9853013L, 23426606L]",35552053
"[9701974L, 22800091L, 30187039L]",245145756
"[9745798L, 30041821L]",330836134
"[9745798L, 42712280L]",330836135
"[9745904L, 31788581L]",321718422
"[9745904L, 47683692L]",606740807
"[9746850L, 23720951L, 119314174L]",35552059
"[111731375L, 111731380L]",1272250214
"[9746850L, 22788195L, 42502293L, 121062240L]",1351023247
"[4974185L, 9747026L, 9747086L]",35554060
"[9747026L, 29268932L]",401367105
"[8861571L, 9747086L, 9747167L]",76456822
"[9747167L, 115646458L, 122923044L]",76456821
"[8861571L, 9747086L, 9747167L]",76456822
"[9747577L, 120497141L]",35867290
"[5202870L, 9747577L]",36380657
"[9747906L, 29258170L]",233760245
"[5202870L, 9747906L]",77338189
"[9779112L, 128491120L]",339284194
"[9779112L, 107125065L]",1231628419
"[9779191L, 30803431L, 30887527L]",245108433
"[9779191L, 33611941L, 33613407L, 33613430L]",322444788
"[4843674L, 9779240L]",31194151
"[9779240L, 30802618L]",31194147
"[9779291L, 9779352L, 43534249L]",31194141
"[9779291L, 25081384L, 30802567L, 127843743L]",31194142
"[9779352L]",260330040
"[9779352L]",260330040
"[9779360L, 30802350L]",266111656
"[9779360L, 33612197L]",31194137
