"id","ways_index"
25583858,"[24385440L, 32881089L, 32881091L, 106648478L]"
25583859,"[47519133L, 34362595L, 106648469L, 32881095L]"
25608741,"[25004609L, 34625007L, 34625009L, 25719829L, 25004604L, 25004607L]"
25609321,"[42490566L, 25609323L, 25004141L, 25609326L, 42490684L]"
25609323,"[25609321L]"
25609325,"[25609326L]"
25609326,"[75888624L, 25609321L, 42490566L, 25609325L]"
25609327,"[75888624L, 44774836L, 75035605L, 44774838L]"
25659820,"[25659834L, 25873850L, 139542967L]"
25659823,"[139542967L, 25686054L, 25659861L, 25659859L]"
25659826,"[25659827L, 139542967L]"
25659827,"[25659832L, 25659826L]"
25659832,"[26239531L, 25659827L, 94057541L, 25659833L]"
25659833,"[25659832L, 26240760L, 26568991L]"
25659834,"[40367328L, 26152129L, 25659843L, 26328073L, 26152139L, 25659820L, 25659856L, 22800022L]"
25659838,"[25686072L, 26568991L]"
25659843,"[26328072L, 25659834L]"
25659856,"[26328072L, 25659834L]"
25659859,"[25659823L]"
25659861,"[25873850L, 25659823L]"
25671099,"[26403971L, 26403972L, 25671210L, 114108306L, 25671100L]"
25671100,"[25671210L, 5168995L, 25671099L, 26404015L]"
25671210,"[25671099L, 25671100L, 32594383L]"
25686054,"[25659823L]"
25686055,"[24797748L, 139502708L]"
25686057,"[127701991L, 89370633L]"
25686059,"[24798460L, 127693580L]"
25686068,"[24798460L, 24797690L]"
25686069,"[139502708L, 139502711L]"
25686070,"[128503977L, 138592586L, 138589997L, 138592559L, 139502711L, 138592568L, 24797690L, 138592585L]"
25686071,"[128011757L, 48041779L, 139502712L, 48042617L, 48041788L, 48041790L]"
25686072,"[25659838L, 138592559L]"
25686353,"[128620800L, 128620801L, 22069891L, 128620741L, 128883576L, 121903993L, 23426778L, 128686715L]"
25686354,"[138694664L, 138693089L, 127635204L]"
25712365,"[25756906L, 25756910L, 25712403L, 5135894L, 25712377L]"
25712377,"[33656161L, 25756965L, 25712365L, 25756911L, 123309341L]"
25712403,"[25712365L, 31557741L]"
25719824,"[25719825L, 25004138L]"
25719825,"[25446434L, 25446435L, 25446436L, 25719824L, 25719826L]"
25719826,"[25446436L, 25446438L, 50635580L, 113679884L, 25719825L, 50823132L]"
25719827,"[25719829L, 25719831L]"
25719829,"[25004609L, 25608741L, 25719827L, 25004604L, 25004607L]"
25719831,"[25719833L, 25719827L]"
25719833,"[42492589L, 25719831L]"
25719847,"[47696953L, 47520247L, 47520252L]"
25719849,"[113679872L, 42492589L, 42989807L, 113679896L, 53333978L, 93228956L]"
25756906,"[25712365L]"
25756910,"[25712365L]"
